invoice_id,supplier_id,department_id,invoice_date,invoice_amount,currency,payment_terms,invoice_type,submission_hour,image_path,supplier_country,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,is_fraud,fraud_type,fraud_tags,explanations,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,region,annual_budget,ocr_total_extracted,image_tamper_flag
INV_0181887,6c776e95-0b98-4ccd-92b2-102d940c3503,DPT_016,2023-03-26,1348.97,ZAR,NET30,SERVICES,1,,DJ,2559,0.182,0,3352.55,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",8.0,4058.632916666667,-0.7053617741540429,0,1,1,Connecticut,157917265.03383747,,
INV_0160860,cde22f1c-56b6-4afc-9ed2-55d0bf1e8366,DPT_005,2023-02-28,4201.41,ZAR,NET30,SERVICES,16,data/v1/20251214_172643/images/INV_0160860.png,LU,48,0.181,0,5971.38,0,NONE,,"{""reason"": ""NONE""}",6.0,7013.609375,-0.3816669999980977,0,0,0,Arkansas,116229088.95079409,6500.6,0.0
INV_0136555,f3981e9e-7cb8-42a0-94a1-eab0b9c037aa,DPT_040,2023-02-25,2693.24,ZAR,NET30,GOODS,6,,BE,2043,0.403,0,5582.33,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",16.0,6616.721034482759,-0.5528140697134193,0,1,0,Rhode Island,210207695.81482586,,
INV_0267850,6769b0f1-ee01-49e0-b46b-161a31cc6738,DPT_034,2023-08-06,7647.13,ZAR,NET90,SERVICES,6,,DZ,1165,0.269,0,6499.68,0,NONE,,"{""reason"": ""NONE""}",8.0,7214.822413793103,0.009353164213813419,0,0,0,Tennessee,279931198.2698545,,
INV_0070938,d240ef02-a968-4fc1-ba5c-865db8344070,DPT_003,2023-04-16,12507.51,ZAR,NET30,SERVICES,13,,ST,1404,0.286,0,16652.76,0,NONE,,"{""reason"": ""NONE""}",11.0,19534.51,0.5609088871780382,0,0,0,New York,420410228.3429599,,
INV_0272470,ca376c36-7d94-4f10-8d18-7b75a971a31f,DPT_000,2023-01-18,4131.65,ZAR,NET30,GOODS,9,,WS,4043,0.086,0,6445.43,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",8.0,9984.02,-0.3895833619356385,0,1,0,Rhode Island,327888135.03695077,,
INV_0027092,ad5229dd-639f-4471-9975-0f00d5aba8ae,DPT_034,2023-08-20,3543.33,ZAR,NET30,GOODS,0,,VN,1932,0.442,0,9486.41,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",8.0,13202.23,-0.45634589139512777,0,1,1,Tennessee,279931198.2698545,,
INV_0004171,727716ec-59fe-4bbc-b1a3-fad2b0946d2a,DPT_032,2023-04-13,42781.2,ZAR,NET30,GOODS,9,,LV,2572,0.176,0,17302.42,1,INFLATED,INFLATED,"{""rules"": [""INFLATED""]}",17.0,23202.1878125,3.996365986158945,0,0,0,Arkansas,30056782.33772621,,
INV_0177187,3c19e71d-1184-45ad-9e11-d2cd0930aef6,DPT_040,2023-05-01,23047.6,ZAR,NET30,SERVICES,19,,IT,114,0.447,0,16397.28,0,NONE,,"{""reason"": ""NONE""}",11.0,18290.75793103448,1.756997867886953,0,0,0,Rhode Island,210207695.81482586,,
INV_0108783,693dffbc-6c6f-4611-9ab3-3edf6e595ed3,DPT_035,2023-10-06,13442.68,ZAR,NET30,GOODS,15,,GD,384,0.299,0,7479.57,0,NONE,,"{""reason"": ""NONE""}",10.0,7994.536451612903,0.6670319404052455,0,0,0,Vermont,63989409.53932006,,
INV_0164494,e4a4474c-9b33-43a4-a620-f9a974fd33d1,DPT_002,2023-04-12,3265.86,ZAR,NET30,GOODS,11,,SV,74,0.32,0,2272.78,0,NONE,,"{""reason"": ""NONE""}",11.0,2536.650769230769,-0.48783317560971257,0,0,0,Nevada,14914645.502737343,,
INV_0059009,a8b317fa-18d0-452b-9825-bc5430beb45f,DPT_023,2023-09-08,4447.91,ZAR,NET30,GOODS,11,,BA,3549,0.365,0,3629.51,0,NONE,,"{""reason"": ""NONE""}",13.0,5029.052105263158,-0.3536941901127222,0,0,0,Arkansas,471719619.69151163,,
INV_0238076,654c11d9-f2e6-4828-81bb-819c4dfe1117,DPT_045,2023-08-09,2045.42,ZAR,NET30,GOODS,7,data/v1/20251214_172643/images/INV_0238076.png,IN,1768,0.255,0,3644.09,0,NONE,,"{""reason"": ""NONE""}",11.0,4225.3855,-0.6263286567314476,0,0,0,Florida,46021400.39881262,5050.57,1.0
INV_0147085,32c5bd89-b70b-4420-b104-3785658b2523,DPT_004,2023-05-06,5915.02,ZAR,NET60,GOODS,1,,UG,56,0.459,1,5820.83,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",7.0,6110.321785714285,-0.18720660751258722,0,0,1,Louisiana,295635808.5560889,,
INV_0040531,fd85d7fa-8ac9-4b01-a3ad-64d4eab9eb02,DPT_013,2023-06-13,19105.5,ZAR,NET30,GOODS,17,,GM,4691,0.108,0,11374.42,0,NONE,,"{""reason"": ""NONE""}",10.0,13145.7,1.3096485216429823,0,0,0,Missouri,142874477.40079096,,
INV_0099322,df865633-ab7a-4b66-b4ac-c7e2fa575cea,DPT_038,2023-02-26,3345.64,ZAR,NET30,GOODS,13,data/v1/20251214_172643/images/INV_0099322.png,CU,4122,0.275,0,1439.09,0,NONE,,"{""reason"": ""NONE""}",14.0,2168.9587096774194,-0.478779744483322,0,0,0,Connecticut,155462729.73333225,16292.5,0.0
INV_0175947,561e16d1-6105-416b-ab0e-664e9c3eb2d5,DPT_021,2023-02-22,3769.78,ZAR,NET30,GOODS,0,data/v1/20251214_172643/images/INV_0175947.png,LV,3161,0.279,0,3928.35,0,NONE,,"{""reason"": ""NONE""}",18.0,5513.8175,-0.4306483546870414,0,0,1,North Dakota,472837706.6746403,5459.12,0.0
INV_0031104,a1173719-b023-40ea-9f41-e335b9aed8e4,DPT_019,2023-07-19,37815.08,ZAR,NET60,GOODS,5,,LV,707,0.071,0,10620.41,1,INFLATED,INFLATED,"{""rules"": [""INFLATED""]}",13.0,14340.648571428572,3.4328108923335456,0,0,1,Connecticut,269888487.263314,,
INV_0129237,d1366db1-5a57-4607-a7e5-46468430f0fa,DPT_037,2023-01-31,27841.82,ZAR,NET30,SERVICES,10,,BJ,2243,0.265,0,11932.83,0,NONE,,"{""reason"": ""NONE""}",13.0,14402.901538461538,2.3010457567659186,0,0,0,Michigan,254753115.830808,,
INV_0141944,4447ceab-84ef-4324-8c1b-4157ec9f9c54,DPT_030,2023-11-12,63238.17,ZAR,NET30,SERVICES,13,,IN,424,0.072,0,9460.65,1,INFLATED,INFLATED,"{""rules"": [""INFLATED""]}",13.0,13916.969024390244,6.317822102348925,0,0,0,Wyoming,153509548.44925362,,
INV_0209571,6de59332-9364-43d0-9024-bdc6dcb33df3,DPT_039,2023-05-23,3172.49,ZAR,NET30,GOODS,17,,JP,95,0.533,0,5325.99,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",8.0,7148.01,-0.4984287993784651,0,1,0,Louisiana,211828985.9007984,,
INV_0150383,0d2b91ef-b897-4ec5-aa74-bb18de3b496f,DPT_024,2023-01-10,12270.17,ZAR,NET60,GOODS,23,,PH,3216,0.188,0,11110.46,0,NONE,,"{""reason"": ""NONE""}",4.0,16344.1725,0.5339755537168007,0,0,0,Rhode Island,498951463.41568965,,
INV_0280670,6fff15cc-b2dc-4c34-8f67-448e10eceb1f,DPT_032,2023-12-09,6039.45,ZAR,NET90,GOODS,21,,TH,3880,0.1,1,4178.81,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",7.0,4951.495000000001,-0.17308629621831842,0,0,0,Arkansas,30056782.33772621,,
INV_0196503,f1eedba3-1343-4e61-9ca3-c4480279b6a6,DPT_025,2023-08-28,1258.25,ZAR,NET30,SERVICES,21,data/v1/20251214_172643/images/INV_0196503.png,FI,2137,0.091,0,2003.99,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",24.0,2834.4328000000005,-0.7156566760315328,0,1,0,North Carolina,21713503.886269618,4405.1,0.0
INV_0238881,bc788423-87c5-4526-811c-45447fb33be5,DPT_000,2023-12-24,13073.8,ZAR,NET60,SERVICES,20,,MR,39,0.084,0,10045.71,0,NONE,,"{""reason"": ""NONE""}",10.0,13258.817741935483,0.6251714531414835,0,0,0,Rhode Island,327888135.03695077,,
INV_0252225,04dd7054-1448-43f7-a7e6-46c701582463,DPT_032,2023-12-05,2049.69,ZAR,NET30,SERVICES,10,,DO,1722,0.05,0,5439.7,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",18.0,6807.409387755102,-0.6258440973066584,0,1,0,Arkansas,30056782.33772621,,
INV_0085928,58007c02-87ea-4ff5-8db0-674679279973,DPT_047,2023-08-04,8980.8,ZAR,NET30,SERVICES,11,data/v1/20251214_172643/images/INV_0085928.png,BW,2810,0.163,1,8597.72,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",12.0,10025.502857142857,0.16069798108938635,0,0,0,Vermont,426130646.54993266,38190.33,0.0
INV_0067421,714011a1-afc2-4cfc-9db7-284b6965d1d1,DPT_000,2023-02-08,127368.23,ZAR,NET30,GOODS,8,,YE,966,0.188,0,19739.07,1,INFLATED,INFLATED,"{""rules"": [""INFLATED""]}",9.0,33689.94818181818,13.595298679702776,0,0,0,Rhode Island,327888135.03695077,,
INV_0078428,0a8381be-c85a-4a46-90e0-f4a0fbdd3933,DPT_000,2023-04-12,7682.55,ZAR,NET60,SERVICES,13,data/v1/20251214_172643/images/INV_0078428.png,DE,39,0.152,1,6547.84,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",18.0,7841.093617021277,0.013372624360426005,0,0,0,Rhode Island,327888135.03695077,28644.92,1.0
INV_0230321,77a7e8b7-5e70-465f-9280-c5aa8dd4595b,DPT_045,2023-01-08,12577.54,ZAR,NET60,SERVICES,7,,SM,109,0.429,0,13075.57,0,NONE,,"{""reason"": ""NONE""}",4.0,12983.487500000001,0.5688558887045001,0,0,0,Florida,46021400.39881262,,
INV_0017010,b9e439ef-48d4-45a4-8cb2-1aa217151c03,DPT_049,2023-03-27,25513.2,ZAR,NET30,GOODS,1,,US,3946,0.287,0,8676.72,0,NONE,,"{""reason"": ""NONE""}",11.0,10999.508275862068,2.0367940547160885,0,0,1,North Dakota,45958704.060773954,,
INV_0274079,d631c383-3030-44d0-b2c8-47439027e770,DPT_038,2023-08-09,17185.14,ZAR,NET30,SERVICES,5,,CF,1967,0.599,0,11783.83,0,NONE,,"{""reason"": ""NONE""}",10.0,13388.533658536586,1.0917261476410363,0,0,1,Connecticut,155462729.73333225,,
INV_0148152,57c5982c-f6ae-40e8-a5da-ced0460a6125,DPT_039,2023-07-24,61791.85,ZAR,NET30,GOODS,14,,AM,88,0.126,0,13559.85,1,INFLATED,INFLATED,"{""rules"": [""INFLATED""]}",16.0,15746.678974358974,6.1536937680957156,0,0,0,Louisiana,211828985.9007984,,
INV_0279775,efad49e9-c41c-447e-9d6b-9b626b535a19,DPT_006,2023-10-17,3481.25,ZAR,NET60,SERVICES,6,,LV,1275,0.186,0,4616.82,0,NONE,,"{""reason"": ""NONE""}",13.0,5255.449189189189,-0.46339072724780167,0,0,0,Texas,377137174.5502147,,
INV_0034168,bac7e2b9-6a7e-4c36-a613-2e6974188109,DPT_013,2023-11-25,5064.83,ZAR,NET60,GOODS,7,,UG,40,0.609,0,3304.05,0,NONE,,"{""reason"": ""NONE""}",11.0,4816.838571428571,-0.2836861338267755,0,0,0,Missouri,142874477.40079096,,
INV_0141690,a8c6dbc0-7bb3-447b-a9aa-144b9dd43675,DPT_023,2023-09-14,1365.77,ZAR,NET60,SERVICES,2,,GN,1656,0.263,0,2507.77,0,NONE,,"{""reason"": ""NONE""}",13.0,3026.189743589744,-0.7034553108433967,0,0,1,Arkansas,471719619.69151163,,
INV_0240380,fdde64af-a75b-495a-94a3-4f7fd90dd19b,DPT_040,2023-10-27,1197.75,ZAR,NET90,GOODS,14,data/v1/20251214_172643/images/INV_0240380.png,IN,4719,0.357,0,1070.22,0,NONE,,"{""reason"": ""NONE""}",18.0,1353.4354545454546,-0.7225222135490388,0,0,0,Rhode Island,210207695.81482586,3277.34,0.0
INV_0173595,bd5609c4-a446-4663-b93b-17fbf76d15fd,DPT_026,2023-04-18,10424.64,ZAR,NET30,SERVICES,5,,CV,2545,0.197,0,6424.02,1,NONE,,"{""reason"": ""NONE""}",15.0,7744.872857142856,0.32454488504435824,0,0,1,New York,63687498.0357117,,
INV_0276215,5275eb94-14ae-4f5c-a636-58c912d0498d,DPT_024,2023-04-11,3575.39,ZAR,NET60,GOODS,5,,BW,47,0.359,0,4066.72,0,NONE,,"{""reason"": ""NONE""}",10.0,4299.846470588235,-0.45270772391064446,0,0,1,Rhode Island,498951463.41568965,,
INV_0087226,d2586d90-16b6-4f61-b68c-62e6e2a45909,DPT_005,2023-04-02,975.15,ZAR,NET60,GOODS,9,,DZ,1890,0.475,0,2905.01,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",15.0,3538.6883783783783,-0.7477828524151021,0,1,0,Arkansas,116229088.95079409,,
INV_0258292,c7903dc5-900c-4af7-9b0a-e22eecc817a6,DPT_038,2023-10-22,5642.75,ZAR,NET60,GOODS,10,,DO,2319,0.018,0,6961.8,0,NONE,,"{""reason"": ""NONE""}",15.0,8249.067222222224,-0.2181037959405434,0,0,0,Connecticut,155462729.73333225,,
INV_0198593,17d821b8-bb93-4d40-98df-f535c62dbaea,DPT_002,2023-06-23,3320.83,ZAR,NET30,GOODS,3,,HT,123,0.179,0,3630.05,0,NONE,,"{""reason"": ""NONE""}",10.0,4837.744838709677,-0.4815951822652943,0,0,1,Nevada,14914645.502737343,,
INV_0132933,db4bb8eb-537d-4bd1-8d53-6c7565b90e94,DPT_020,2023-03-29,7325.34,ZAR,NET30,GOODS,2,,GN,2993,0.254,1,8115.02,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",19.0,10082.39,-0.027163551782190567,0,0,1,New Jersey,245316830.24895635,,
INV_0203775,79903d96-87ce-469d-9e47-a339c0ae0b1a,DPT_048,2023-02-07,9384.22,ZAR,NET30,GOODS,16,data/v1/20251214_172643/images/INV_0203775.png,MU,1346,0.537,0,5988.36,0,NONE,,"{""reason"": ""NONE""}",11.0,6721.613571428571,0.20647806613586986,0,0,0,Nevada,147954148.85425425,24058.28,0.0
INV_0145940,9532caba-7af9-45ff-8ff1-98865a2c41bc,DPT_003,2023-01-28,3291.01,ZAR,NET60,GOODS,2,,PS,3692,0.557,0,5820.48,0,NONE,,"{""reason"": ""NONE""}",10.0,6156.331,-0.48497915464169145,0,0,1,New York,420410228.3429599,,
INV_0297626,f7dc67e0-3097-4b2b-86a0-2a9b65ec7acd,DPT_018,2023-04-26,65931.86,ZAR,NET60,GOODS,14,,DJ,2442,0.186,1,40890.63,1,INFLATED,INFLATED;GHOST_SUPPLIER,"{""rules"": [""INFLATED"", ""GHOST_SUPPLIER""]}",14.0,56501.90894736842,6.623501933018853,0,0,0,California,419911365.2428973,,
INV_0255399,bdc2b74b-38a5-4b49-9d34-aa1890019ed4,DPT_033,2023-06-30,12708.39,ZAR,NET30,SERVICES,5,,NL,115,0.752,0,16474.54,1,DOC_TAMPER,DOC_TAMPER,"{""rules"": [""DOC_TAMPER""]}",14.0,18363.361764705885,0.5837047413353372,0,0,1,Pennsylvania,228230337.7671311,,
INV_0102217,6c8c3b6a-a974-4079-b16f-da0a45a88829,DPT_009,2023-03-28,5686.34,ZAR,NET90,SERVICES,13,,BE,2716,0.241,1,5954.88,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",12.0,7490.909032258064,-0.21315720452917009,0,0,0,Arizona,228260536.5655489,,
INV_0258265,c2b01cfd-d045-4d1c-a684-09e3f1f8343e,DPT_010,2023-09-02,19655.97,ZAR,NET30,SERVICES,21,,GH,1507,0.109,1,4128.38,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",17.0,6313.34619047619,1.3721158346555693,0,0,0,Arizona,477880716.71451265,,
INV_0198075,8ff50701-8222-4c16-a3de-4ec04dfa21be,DPT_030,2023-01-30,5380.67,ZAR,NET30,SERVICES,19,,BA,4834,0.382,0,8049.31,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",16.0,12793.786250000001,-0.2478446235866254,0,1,0,Wyoming,153509548.44925362,,
INV_0215586,0dec644c-da2d-4156-913a-1734ccb68571,DPT_023,2023-08-26,9694.43,ZAR,NET60,SERVICES,3,,TW,3899,0.259,0,7888.54,0,NONE,,"{""reason"": ""NONE""}",15.0,9136.374285714286,0.24168068420703565,0,0,1,Arkansas,471719619.69151163,,
INV_0235540,88cc4d49-669b-49b8-950d-f1a07aaf2001,DPT_021,2023-07-06,28231.22,ZAR,NET90,SERVICES,18,data/v1/20251214_172643/images/INV_0235540.png,BW,4290,0.12,0,22373.21,0,NONE,,"{""reason"": ""NONE""}",13.0,29736.95542857143,2.345234852787684,0,0,0,North Dakota,472837706.6746403,49647.94,0.0
INV_0034585,c7de96ea-2b0f-4e44-89e6-4c2289a0b7eb,DPT_024,2023-03-10,1144.0,ZAR,NET90,GOODS,0,,SR,3407,0.244,0,1119.36,0,NONE,,"{""reason"": ""NONE""}",8.0,1257.5820833333335,-0.7286217613435173,0,0,1,Rhode Island,498951463.41568965,,
INV_0079510,adb610f4-c65d-486e-b00f-63efe59fc1c2,DPT_019,2023-01-27,8173.0,ZAR,NET30,SERVICES,4,,BT,4081,0.307,0,6109.17,0,NONE,,"{""reason"": ""NONE""}",15.0,6565.062666666667,0.06902887023581104,0,0,1,Connecticut,269888487.263314,,
INV_0045807,03438b64-00b3-400f-bc08-899054a27051,DPT_024,2023-07-05,2119.77,ZAR,NET30,SERVICES,15,,AR,3878,0.227,0,5264.31,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",15.0,6241.958048780488,-0.6178914217822481,0,1,0,Rhode Island,498951463.41568965,,
INV_0124575,57c5982c-f6ae-40e8-a5da-ced0460a6125,DPT_008,2023-09-05,19326.15,ZAR,NET30,GOODS,8,,AM,88,0.126,0,13559.85,0,NONE,,"{""reason"": ""NONE""}",9.0,17000.77472222222,1.33468787458906,0,0,0,Louisiana,212889065.30955267,,
INV_0076650,0d01280f-d89a-40c0-a87d-1c78e7c421c7,DPT_036,2023-08-20,14658.63,ZAR,NET60,GOODS,13,,ME,996,0.432,0,14273.59,0,NONE,,"{""reason"": ""NONE""}",11.0,13917.400333333333,0.8050178965112184,0,0,0,New Hampshire,174005417.58110693,,
INV_0227087,3692a531-c609-4cd8-a127-dc6bab9b153d,DPT_030,2023-11-17,6244.84,ZAR,NET60,SERVICES,1,data/v1/20251214_172643/images/INV_0227087.png,IN,3945,0.297,0,3883.44,0,NONE,,"{""reason"": ""NONE""}",16.0,4462.090188679245,-0.1497786474460779,0,0,1,Wyoming,153509548.44925362,19289.7,0.0
INV_0105028,ebb7a385-aa0b-4b14-b2e9-702d11e9cdaa,DPT_009,2023-03-28,1237.73,ZAR,NET30,GOODS,13,,BR,3955,0.259,0,2118.62,0,NONE,,"{""reason"": ""NONE""}",14.0,2208.3902564102564,-0.7179852847895365,0,0,0,Arizona,228260536.5655489,,
INV_0272862,d6c6f45c-dc5e-4e78-a307-d4d121c9a15d,DPT_006,2023-04-03,2021.02,ZAR,NET30,GOODS,7,,IQ,3411,0.092,1,878.4,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",12.0,1143.3811428571428,-0.6290975677302434,0,0,0,Texas,377137174.5502147,,
INV_0161970,adf8f767-2261-4def-9c07-4653d71173e4,DPT_002,2023-02-27,4632.78,ZAR,NET30,SERVICES,23,,MH,108,0.378,0,9077.98,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",18.0,11095.8171875,-0.3327151500984854,0,1,0,Nevada,14914645.502737343,,
INV_0177922,3d4cbf37-4eb9-4eff-8e88-cb2dd4e80839,DPT_037,2023-07-30,4928.4,ZAR,NET60,GOODS,9,,KE,61,0.284,0,5797.64,0,NONE,,"{""reason"": ""NONE""}",16.0,5822.7434375,-0.2991682046286489,0,0,0,Michigan,254753115.830808,,
INV_0144281,10cc4604-28b2-4b1b-8a9f-1d5983e8b700,DPT_018,2023-09-19,7264.3,ZAR,NET60,SERVICES,11,,LU,4610,0.142,0,7643.12,0,NONE,,"{""reason"": ""NONE""}",14.0,9629.388048780489,-0.03409036847753872,0,0,0,California,419911365.2428973,,
INV_0221038,8442906f-2e16-40b6-ac25-7a75421d4dca,DPT_010,2023-07-02,17062.64,ZAR,NET60,GOODS,5,data/v1/20251214_172643/images/INV_0221038.png,DE,1598,0.593,0,5973.26,0,NONE,,"{""reason"": ""NONE""}",15.0,7824.526296296296,1.0778248526675738,0,0,1,Arizona,477880716.71451265,43369.37,1.0
INV_0250193,fa585b27-8ce3-47c3-b6ea-b3a001539221,DPT_043,2023-07-28,1710.89,ZAR,NET30,GOODS,2,,SZ,823,0.242,0,1662.51,0,NONE,,"{""reason"": ""NONE""}",5.0,2087.3851999999997,-0.6642911074046915,0,0,1,Oregon,41657651.47833375,,
INV_0221959,8c3d031a-b395-4193-97d3-b9d94c859233,DPT_028,2023-07-10,10889.12,ZAR,NET30,GOODS,16,,VC,2097,0.173,0,6796.35,0,NONE,,"{""reason"": ""NONE""}",7.0,8152.347647058824,0.3772540563853694,0,0,0,Nevada,67438047.15168649,,
INV_0166665,e0e5f6e5-04c4-4853-a33b-3dfd904865c6,DPT_016,2023-01-20,3830.22,ZAR,NET30,GOODS,7,,WS,1128,0.185,0,2817.46,0,NONE,,"{""reason"": ""NONE""}",9.0,2736.5666666666666,-0.42378962596707354,0,0,0,Connecticut,157917265.03383747,,
INV_0254305,5a9c0679-2c3d-47e2-ad39-da75aee70ab2,DPT_003,2023-12-01,40713.4,ZAR,NET90,SERVICES,21,,CG,2484,0.04,0,11891.96,1,INFLATED,INFLATED,"{""rules"": [""INFLATED""]}",13.0,15264.34794117647,3.761712127006899,0,0,0,New York,420410228.3429599,,
